time,inflow
41275.08333,0.018200532
41275.20833,0.018195511
41275.33333,0.030094894
41275.45833,0.123196264
41275.58333,0.133177687
41275.70833,0.030295727
41275.83333,0.178721695
41275.95833,0.146066175
41276.08333,0.106522067
41276.20833,0.01818547
41276.33333,0.105030878
41276.45833,0.070844003
41276.58333,0.041557463
41276.70833,0.127599538
41276.83333,0.170773711
41276.95833,0.10654215
41277.08333,0.105753879
41277.20833,0.064753728
41277.33333,0.036873023
41277.45833,0.18883366
41277.58333,0.226670683
41277.70833,0.070151127
41277.83333,0.414871718
41277.95833,0.335186022
41278.08333,0.068022293
41278.20833,0.018215595
41278.33333,0.026233871
41278.45833,0.137164232
41278.58333,0.168971231
41278.70833,0.164311894
41278.83333,0.137821961
41278.95833,0.224376161
41279.08333,0.035256314
41279.20833,0.018240699
41279.33333,0.018250741
41279.45833,0.235381835
41279.58333,0.201606668
41279.70833,0.035457147
41279.83333,0.12581212
41279.95833,0.082457197
41280.08333,0.025079078
41280.20833,0.018331074
41280.33333,0.028508309
41280.45833,0.141672943
41280.58333,0.170311794
41280.70833,0.084540845
41280.83333,0.172766983
41280.95833,0.117311844
41281.08333,0.028493247
41281.20833,0.060275142
41281.33333,0.018386303
41281.45833,0.185012803
41281.58333,0.101666918
41281.70833,0.053873575
41281.83333,0.033232917
41281.95833,0.020675805
41282.08333,0.018431491
41282.20833,0.018446553
41282.33333,0.018461616
41282.45833,0.023422202
41282.58333,0.008249234
41282.70833,0.015981322
41282.83333,0.021363659
41282.95833,0.015765427
41283.08333,0.006416629
41283.20833,0.018491741
41283.33333,0.018516845
41283.45833,0.053753075
41283.58333,0.035502335
41283.70833,0.018416428
41283.83333,0.021956118
41283.95833,0.020088367
41284.08333,0.04471557
41284.20833,0.049410052
41284.33333,0.018531907
41284.45833,0.037109002
41284.58333,0.073178692
41284.70833,0.031053874
41284.83333,0.022297535
41284.95833,0.067555355
41285.08333,0.043771652
41285.20833,0.018466637
41285.33333,0.037073857
41285.45833,0.018501782
